time,X,Y,Z
9.716556124,2.050307274,-1.195990324,-0.2536586225
9.718549145,1.922479272,-1.20238173,-0.2323539555
9.720542166,1.779738069,-1.208773136,-0.2067883611
9.722535187,1.627409697,-1.207707882,-0.1780270636
9.724528208,1.462298632,-1.207707882,-0.1450048387
9.726521229,1.30038321,-1.200251341,-0.1119826213
9.728514249,1.139533043,-1.18533802,-0.08109086752
9.73050727,0.9925308824,-1.170424819,-0.05232957378
9.732500291,0.8561810255,-1.150185347,-0.02356828004
9.734493312,0.7411358953,-1.125684977,-0.001198387123
9.736486333,0.6420692205,-1.097988963,0.02010627277
9.738479354,0.5643072128,-1.068162441,0.03395430371
9.740472374,0.5035889149,-1.037270665,0.04247616604
9.742465395,0.4588491321,-1.003183246,0.0467370972
9.744458416,0.4322183132,-0.9744219184,0.04460663348
9.746451437,0.4215659797,-0.9477910995,0.03928046674
9.748444458,0.4226312041,-0.9190297723,0.02543243766
9.750437479,0.4450010955,-0.8913337588,0.009453942999
9.752430552,0.4780233204,-0.8636376858,-0.01185071748
9.754423624,0.5248935819,-0.84020257,-0.03954677656
9.756416697,0.5792204738,-0.8199630976,-0.06937330216
9.75840977,0.6452649236,-0.8029193878,-0.1045259908
9.760402843,0.718765974,-0.7912018299,-0.1439396143
9.762395916,0.800788939,-0.7858756781,-0.1854836941
9.764388989,0.8902685046,-0.782679975,-0.2312887162
9.766382062,0.9829437733,-0.7837451696,-0.2802894413
9.768375135,1.084140897,-0.7901365757,-0.3324858546
9.770368208,1.184272766,-0.7997236848,-0.3878779709
9.772361281,1.287600398,-0.8135717511,-0.4464657903
9.774354354,1.394123673,-0.8242240548,-0.5050535798
9.776347427,1.495320916,-0.8391373158,-0.566837132
9.778340499,1.594387531,-0.8551158309,-0.630751133
9.780333572,1.690258503,-0.8678985834,-0.6967955232
9.782326645,1.781868577,-0.8828118443,-0.7649704814
9.784319718,1.867087126,-0.9030513167,-0.83314538
9.786312791,1.945914388,-0.9243559837,-0.9055812359
9.788305864,2.020480633,-0.9499215484,-0.9769518375
9.790298937,2.082264185,-0.9776176214,-1.048322439
9.79229201,2.136591196,-1.006378889,-1.121823549
9.794285083,2.180265665,-1.041531563,-1.193194151
9.796278156,2.214353085,-1.078814745,-1.263499498
9.798271229,2.2377882,-1.119293571,-1.331674457
9.800264302,2.248440504,-1.164033413,-1.395588398
9.802257374,2.246310234,-1.210903645,-1.456306696
9.804250447,2.235657692,-1.263100028,-1.513829231
9.80624352,2.210092306,-1.313166022,-1.563895226
9.808236593,2.17174387,-1.365362406,-1.611830711
9.810229666,2.12274313,-1.418624043,-1.654440045
9.812222739,2.063090086,-1.469755292,-1.691723228
9.814215812,1.99811089,-1.514495015,-1.722615004
9.816208885,1.929935932,-1.553908706,-1.749245763
9.818201958,1.854304433,-1.586930871,-1.769485235
9.820195031,1.77760756,-1.615692139,-1.784398437
9.822188104,1.704106569,-1.634866357,-1.79505074
9.824181177,1.632735968,-1.645518661,-1.799311757
9.826174249,1.565626264,-1.647649169,-1.801442146
9.82816727,1.504907966,-1.643388271,-1.798246503
9.830160291,1.454841971,-1.630605459,-1.791855097
9.832153312,1.406906486,-1.609300733,-1.782268047
9.834146333,1.368558168,-1.585865617,-1.769485235
9.836139354,1.336601138,-1.559234858,-1.75350666
9.838132374,1.30997026,-1.526212573,-1.735397696
9.840125395,1.290796161,-1.489994645,-1.714093089
9.842118416,1.27588284,-1.450581074,-1.689592719
9.844111437,1.266295791,-1.411167502,-1.659766197
9.846104458,1.256708622,-1.369623303,-1.628874421
9.848097479,1.248186827,-1.327014089,-1.592656493
9.850090499,1.239664912,-1.2833395,-1.556438565
9.85208352,1.229012609,-1.235404015,-1.51595974
9.854076541,1.219425559,-1.188533783,-1.472285151
9.856069562,1.206642747,-1.13633728,-1.429675817
9.858062583,1.193859935,-1.088401794,-1.381740332
9.860055604,1.180011868,-1.039401174,-1.331674457
9.862048624,1.16083765,-0.9893351793,-1.281608462
9.864041645,1.139533043,-0.9413996935,-1.229412079
9.866034666,1.117163181,-0.8923989534,-1.17828083
9.868027687,1.089467049,-0.8423330188,-1.125019193
9.870020708,1.059640527,-0.7965279818,-1.071757555
9.872013729,1.031944513,-0.7528534532,-1.020626426
9.874006749,0.9978570342,-0.7070484161,-0.9716256857
9.87599977,0.9637695551,-0.6676347852,-0.9236901999
9.877992791,0.9307473302,-0.6324821115,-0.875754714
9.879985812,0.8966599107,-0.5973294377,-0.83314538
9.881978833,0.8636376858,-0.5643072128,-0.7916013002
9.883971854,0.8295502067,-0.5387415886,-0.7532529235
9.885964874,0.797593236,-0.5174369216,-0.7170349956
9.887957895,0.7667014599,-0.4971975088,-0.6840127707
9.889950916,0.740070641,-0.4780233204,-0.6541862488
9.891943937,0.715570271,-0.4577838778,-0.6286206245
9.893936958,0.694265604,-0.4375444651,-0.6062507629
9.895929979,0.6750914454,-0.4162397981,-0.588141799
9.897922999,0.6612433791,-0.3917394578,-0.573228538
9.89991602,0.6441996694,-0.3640433848,-0.5625761747
9.901909041,0.6346125603,-0.3352820873,-0.5540543199
9.903902062,0.6260907054,-0.3065207899,-0.5476629138
9.905895083,0.6196992993,-0.2756290436,-0.5434020162
9.907888104,0.6111774445,-0.240476355,-0.542336762
9.909881124,0.6090469956,-0.204258427,-0.5434020162
9.911874145,0.6069164872,-0.1616491079,-0.5465977192
9.913867166,0.6069164872,-0.117974557,-0.5497934222
9.915860187,0.6090469956,-0.07216953486,-0.5540543199
9.917853208,0.6122426987,-0.02742975019,-0.5615109801
9.919846229,0.6207645535,0.02370143496,-0.5679023266
9.921839249,0.6260907054,0.0705716908,-0.5753589869
