"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
6.960634160E-1,3.046023130E0,2.952050686E0,6.229712963E0
6.980564890E-1,3.046023130E0,2.952050686E0,6.454767704E0
7.000495620E-1,2.945466757E0,3.268085241E0,6.971915245E0
7.020426350E-1,2.820968151E0,3.459621429E0,7.211335659E0
7.040357080E-1,2.797026157E0,3.363853455E0,6.909666061E0
7.060287810E-1,2.777872562E0,3.325546265E0,6.689399719E0
7.080218540E-1,2.825756550E0,3.287238836E0,6.540958881E0
7.100149270E-1,2.873640537E0,3.258508444E0,6.387730122E0
7.120079990E-1,2.897582531E0,3.181894064E0,6.215347767E0
7.140010720E-1,2.902370930E0,3.177105665E0,6.148310184E0
7.159941450E-1,2.964620352E0,3.110068083E0,5.999270916E0
7.179872180E-1,2.983773947E0,3.086126089E0,5.965752125E0
7.199802910E-1,3.069965124E0,3.023876667E0,5.846042156E0
7.219733640E-1,3.160944700E0,2.952050686E0,5.688024521E0
7.239664370E-1,3.242347717E0,2.947262287E0,5.601833344E0
7.259595100E-1,3.385999680E0,2.870647907E0,5.515642166E0
7.279525830E-1,3.534440279E0,2.808398485E0,5.477334976E0
7.299456560E-1,3.716399670E0,2.703053713E0,5.477334976E0
7.319387290E-1,3.903745890E0,2.612074137E0,5.558737755E0
7.339318020E-1,4.066551685E0,2.554613113E0,5.659294128E0
7.359248220E-1,4.238934040E0,2.496553898E0,5.788581371E0
7.379178430E-1,4.392162800E0,2.424727678E0,5.975328922E0
7.399108640E-1,4.564545631E0,2.400785685E0,6.172252178E0
7.419038850E-1,4.712985992E0,2.362478495E0,6.354211330E0
7.438969060E-1,4.827907562E0,2.328959703E0,6.598419666E0
7.458899270E-1,4.943428040E0,2.309806108E0,6.751648903E0
7.478829470E-1,5.024830818E0,2.300229311E0,6.943184853E0
7.498759680E-1,5.130175591E0,2.271498919E0,7.110779285E0
7.518689890E-1,5.235520363E0,2.247556925E0,7.235277653E0
