"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.947497180E-1,-1.378145218E-1,-1.144859195E0,-1.321022153E0
3.967640930E-1,-1.580539495E-1,-1.142728686E0,-1.328478694E0
3.987913850E-1,-1.804238409E-1,-1.141663551E0,-1.335935354E0
4.008297180E-1,-1.953371018E-1,-1.137402534E0,-1.343392015E0
4.028297180E-1,-2.081198990E-1,-1.133141637E0,-1.351913810E0
4.048397700E-1,-2.219679356E-1,-1.129945874E0,-1.358305216E0
4.068587810E-1,-2.272941023E-1,-1.121424079E0,-1.363631368E0
4.088853430E-1,-2.272941023E-1,-1.107576013E0,-1.370022774E0
4.109178430E-1,-2.240983993E-1,-1.095858455E0,-1.375349045E0
4.129544580E-1,-2.209026963E-1,-1.077749491E0,-1.378544688E0
4.149932600E-1,-2.155765295E-1,-1.057510138E0,-1.383870840E0
4.170323220E-1,-2.091851383E-1,-1.033009768E0,-1.387066603E0
4.190328430E-1,-2.038589716E-1,-1.011705041E0,-1.388131738E0
4.210259160E-1,-1.985328048E-1,-9.893351793E-1,-1.388131738E0
4.230189370E-1,-1.964023411E-1,-9.765523672E-1,-1.386001348E0
4.250119580E-1,-1.942718774E-1,-9.744219184E-1,-1.384936094E0
4.270049790E-1,-1.964023411E-1,-9.754871130E-1,-1.387066603E0
4.289979990E-1,-1.974675655E-1,-9.829437733E-1,-1.392392755E0
4.309910200E-1,-1.964023411E-1,-9.861394763E-1,-1.396653652E0
4.329840410E-1,-1.942718774E-1,-9.797480702E-1,-1.400914550E0
4.349770620E-1,-1.836195439E-1,-9.648348093E-1,-1.401979804E0
4.369700830E-1,-1.687062830E-1,-9.350082874E-1,-1.404110312E0
4.389631040E-1,-1.420754492E-1,-8.913337588E-1,-1.406240702E0
4.409561240E-1,-1.079879999E-1,-8.199630976E-1,-1.412632108E0
4.429491450E-1,-6.431344151E-2,-7.315487862E-1,-1.425414920E0
4.449421660E-1,-1.318225823E-2,-6.601781845E-1,-1.438197732E0
4.469351870E-1,2.742975019E-2,-6.079817414E-1,-1.446719646E0
4.489282080E-1,7.110430300E-2,-5.728290677E-1,-1.456306696E0
4.509212290E-1,1.051917598E-1,-5.483286977E-1,-1.457371950E0
4.529142490E-1,1.382139921E-1,-5.291544795E-1,-1.457371950E0
4.549072700E-1,1.691057384E-1,-5.153064728E-1,-1.452045798E0
4.569002910E-1,1.957365721E-1,-5.099803209E-1,-1.443523884E0
4.588933120E-1,2.181064636E-1,-5.121107697E-1,-1.430741072E0
4.608863330E-1,2.340849638E-1,-5.227631330E-1,-1.414762616E0
4.628793540E-1,2.468677461E-1,-5.408720970E-1,-1.401979804E0
4.648723740E-1,2.564548552E-1,-5.696333647E-1,-1.387066603E0
4.668653950E-1,2.617810071E-1,-6.015903354E-1,-1.376414180E0
4.688584160E-1,2.660419345E-1,-6.441996694E-1,-1.366827130E0
4.708514370E-1,2.649767101E-1,-6.900047064E-1,-1.361500978E0
4.728444580E-1,2.617810071E-1,-7.432663441E-1,-1.360435724E0
4.748374790E-1,2.617810071E-1,-7.954627872E-1,-1.361500978E0
4.768304990E-1,2.564548552E-1,-8.529853225E-1,-1.365761876E0
4.788235200E-1,2.532591522E-1,-9.062470198E-1,-1.371088028E0
4.808165410E-1,2.500634491E-1,-9.563129544E-1,-1.381740332E0
4.828095620E-1,2.468677461E-1,-1.001052737E0,-1.391327500E0
4.848025830E-1,2.447372824E-1,-1.041531563E0,-1.399849296E0
4.867956040E-1,2.458025217E-1,-1.075619102E0,-1.409436464E0
4.887886240E-1,2.468677461E-1,-1.107576013E0,-1.417958260E0
4.907816450E-1,2.468677461E-1,-1.133141637E0,-1.424349666E0
4.927746660E-1,2.511286736E-1,-1.157642007E0,-1.428610682E0
4.947676870E-1,2.575200796E-1,-1.177881360E0,-1.431806326E0
4.967607080E-1,2.617810071E-1,-1.194925189E0,-1.432871580E0
4.987537290E-1,2.660419345E-1,-1.210903645E0,-1.432871580E0
5.007467490E-1,2.745638192E-1,-1.221555948E0,-1.428610682E0
5.027397700E-1,2.788247466E-1,-1.236469269E0,-1.425414920E0
5.047327910E-1,2.820204496E-1,-1.259904385E0,-1.422219276E0
5.067258120E-1,2.841508985E-1,-1.286535144E0,-1.417958260E0
5.087188330E-1,2.820204496E-1,-1.317426920E0,-1.413697362E0
5.107118540E-1,2.766942680E-1,-1.355775356E0,-1.408371210E0
5.127048740E-1,2.649767101E-1,-1.394123673E0,-1.404110312E0
5.146978950E-1,2.511286736E-1,-1.429276466E0,-1.399849296E0
5.166909160E-1,2.351501882E-1,-1.461233377E0,-1.397718906E0
5.186839370E-1,2.159759998E-1,-1.485733747E0,-1.396653652E0
5.206769580E-1,1.968017966E-1,-1.510234118E0,-1.394523144E0
5.226699790E-1,1.754971445E-1,-1.526212573E0,-1.393458009E0
5.246629990E-1,1.573881805E-1,-1.537930131E0,-1.390262246E0
5.266560200E-1,1.424749196E-1,-1.542191148E0,-1.389196992E0
5.286490410E-1,1.243659556E-1,-1.528343081E0,-1.380675197E0
5.306420620E-1,9.986559302E-2,-1.475081444E0,-1.361500978E0
5.326350830E-1,6.151720881E-2,-1.387732267E0,-1.325283051E0
5.346281040E-1,1.571218669E-2,-1.289730906E0,-1.274151802E0
5.366211240E-1,-2.916075476E-2,-1.205577493E0,-1.209172606E0
5.386141450E-1,-7.390054315E-2,-1.134206891E0,-1.142062902E0
5.406071660E-1,-1.143793985E-1,-1.088401794E0,-1.084540367E0
5.426001870E-1,-1.548582464E-1,-1.070292830E0,-1.038735390E0
5.445932080E-1,-1.804238409E-1,-1.099054217E0,-1.003582716E0
5.465862290E-1,-1.995980442E-1,-1.154446244E0,-9.758865833E-1
5.485792490E-1,-2.251636237E-1,-1.189599037E0,-9.535167217E-1
5.505722700E-1,-2.581858635E-1,-1.204512239E0,-9.343425035E-1
5.525652910E-1,-3.018604219E-1,-1.208773136E0,-9.162335396E-1
5.545583120E-1,-3.476654291E-1,-1.209838390E0,-8.981245756E-1
5.565513330E-1,-3.934704363E-1,-1.203446984E0,-8.842765689E-1
5.585443540E-1,-4.435364008E-1,-1.189599037E0,-8.725590110E-1
5.605373740E-1,-4.904066622E-1,-1.168294311E0,-8.640371561E-1
5.625303950E-1,-5.308855176E-1,-1.138467789E0,-8.608414531E-1
5.645234160E-1,-5.660381913E-1,-1.105445623E0,-8.682980537E-1
5.665164370E-1,-5.841471553E-1,-1.061771035E0,-8.864070177E-1
5.685094580E-1,-5.926690102E-1,-1.006378889E0,-9.162335396E-1
5.705024790E-1,-5.873428583E-1,-9.413996935E-1,-9.556471705E-1
5.724954990E-1,-5.702991486E-1,-8.732247949E-1,-9.939955473E-1
5.744885200E-1,-5.426030755E-1,-8.007889390E-1,-1.029148221E0
5.764815410E-1,-5.138418078E-1,-7.326140404E-1,-1.054713845E0
5.784745620E-1,-4.829500318E-1,-6.708304882E-1,-1.070692301E0
5.804675830E-1,-4.509930313E-1,-6.175688505E-1,-1.072822809E0
5.824606040E-1,-4.222317338E-1,-5.717638135E-1,-1.068561912E0
5.844536240E-1,-3.924052119E-1,-5.387415886E-1,-1.055779099E0
5.864466450E-1,-3.753614724E-1,-4.876104295E-1,-1.068561912E0
5.884396660E-1,-3.572525382E-1,-4.439358711E-1,-1.085605621E0
5.904326870E-1,-3.476654291E-1,-3.981308341E-1,-1.102649331E0
5.924257080E-1,-3.338173926E-1,-3.693695366E-1,-1.111171246E0
5.944187290E-1,-3.157084286E-1,-3.683043122E-1,-1.107975483E0
5.964117490E-1,-2.869471312E-1,-3.810871243E-1,-1.102649331E0
5.984047700E-1,-2.539249361E-1,-4.098483920E-1,-1.095192671E0
6.003977910E-1,-2.166417688E-1,-4.524577260E-1,-1.086670876E0
6.023908120E-1,-1.804238409E-1,-5.057193637E-1,-1.076018453E0
6.043838330E-1,-1.399449855E-1,-5.653724074E-1,-1.062170506E0
6.063768540E-1,-1.026618332E-1,-6.260907054E-1,-1.044061542E0
6.083698740E-1,-6.431344151E-2,-6.878741980E-1,-1.024887323E0
6.103628950E-1,-2.703028731E-2,-7.496577501E-1,-1.000386953E0
6.123559160E-1,9.320789017E-3,-8.082455397E-1,-9.737561345E-1
6.143489370E-1,4.127778113E-2,-8.615072370E-1,-9.449948668E-1
6.163419580E-1,6.790860742E-2,-9.105079174E-1,-9.172987938E-1
6.183349790E-1,9.027849883E-2,-9.456605911E-1,-8.917331696E-1
6.203279990E-1,1.030612960E-1,-9.637695551E-1,-8.746894598E-1
6.223210200E-1,1.073222235E-1,-9.659000635E-1,-8.651023507E-1
6.243140410E-1,1.019960642E-1,-9.488562942E-1,-8.619066477E-1
6.263070620E-1,9.240896255E-2,-9.264864326E-1,-8.714937568E-1
6.283000830E-1,9.027849883E-2,-9.168993235E-1,-8.874722719E-1
6.302931040E-1,8.708280325E-2,-9.083774686E-1,-9.066464305E-1
6.322861240E-1,8.814803511E-2,-8.955946565E-1,-9.268859029E-1
6.342791450E-1,8.282186836E-2,-8.742899895E-1,-9.460600615E-1
6.362721660E-1,8.175663650E-2,-8.508548737E-1,-9.631038308E-1
6.382651870E-1,8.388710022E-2,-8.306154609E-1,-9.918650985E-1
6.402582080E-1,8.388710022E-2,-8.061150908E-1,-1.048322439E0
6.422512290E-1,8.495233208E-2,-7.773538232E-1,-1.090931773E0
6.442442490E-1,9.240896255E-2,-7.464620471E-1,-1.122888803E0
6.462372700E-1,9.986559302E-2,-7.177007794E-1,-1.148454309E0
6.482302910E-1,1.147788614E-1,-6.974613070E-1,-1.166563272E0
6.502233120E-1,1.296921223E-1,-6.878741980E-1,-1.177215695E0
6.522163330E-1,1.478010863E-1,-6.921351552E-1,-1.181476593E0
6.542093540E-1,1.712362021E-1,-7.059831619E-1,-1.177215695E0
6.562023740E-1,1.968017966E-1,-7.304835320E-1,-1.169759035E0
6.581953950E-1,2.223673910E-1,-7.635057569E-1,-1.154845715E0
6.601884160E-1,2.585853040E-1,-8.093107939E-1,-1.135671616E0
6.621814370E-1,2.958684862E-1,-8.689638376E-1,-1.112236381E0
6.641744580E-1,3.406082690E-1,-9.477910995E-1,-1.082409859E0
6.661674790E-1,3.853480518E-1,-1.023422599E0,-1.046191931E0
6.681604990E-1,4.247616827E-1,-1.099054217E0,-1.009974003E0
6.701535200E-1,4.631100595E-1,-1.168294311E0,-9.705604315E-1
6.721465410E-1,4.982627332E-1,-1.233273506E0,-9.375382066E-1
6.741396140E-1,5.291544795E-1,-1.285470009E0,-9.077116847E-1
6.761326870E-1,5.600462556E-1,-1.325948834E0,-8.821461201E-1
