"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
8.759440200E-2,2.897582531E0,8.361150742E0,4.724956989E0
8.958731900E-2,2.830544949E0,8.389881134E0,4.638765812E0
9.158023600E-2,2.758718967E0,8.423399925E0,4.557363033E0
9.357315200E-2,2.686892748E0,8.456918716E0,4.538209438E0
9.556606900E-2,2.667140722E0,8.495225906E0,4.519055843E0
9.755898600E-2,2.619256735E0,8.514379501E0,4.480748653E0
9.955190200E-2,2.557007313E0,8.490437508E0,4.475960255E0
1.015448190E-1,2.542642117E0,8.538321495E0,4.519055843E0
1.035377360E-1,2.513911724E0,8.504802704E0,4.547786236E0
1.055306520E-1,2.489969730E0,8.485649109E0,4.600458622E0
1.075235690E-1,2.499546528E0,8.447341919E0,4.648342609E0
1.095164860E-1,2.461239338E0,8.437765121E0,4.696226597E0
1.115094020E-1,2.408566952E0,8.389881134E0,4.720168591E0
1.135023190E-1,2.398990154E0,8.394669533E0,4.763264179E0
1.154952360E-1,2.370259762E0,8.351573944E0,4.791994572E0
1.174881520E-1,2.298433542E0,8.289324760E0,4.820724964E0
1.194810690E-1,2.217030764E0,8.203133583E0,4.830301762E0
1.214739860E-1,2.159569979E0,8.155249596E0,4.849455357E0
1.234669020E-1,2.130839586E0,8.092401505E0,4.854243755E0
1.254598190E-1,2.082955360E0,8.044517517E0,4.787206173E0
1.274527360E-1,2.006340981E0,7.996633530E0,4.729745388E0
1.294456520E-1,1.968033791E0,7.972691536E0,4.662707806E0
1.314385690E-1,1.881842494E0,7.953537941E0,4.542997837E0
1.334314860E-1,1.905784607E0,7.948749542E0,4.404133797E0
1.354244020E-1,1.905784607E0,7.876923561E0,4.241328239E0
1.374173190E-1,1.968033791E0,7.829039574E0,4.179079056E0
1.394102360E-1,2.087743998E0,7.752425194E0,4.102464676E0
1.414031520E-1,2.226607561E0,7.623138428E0,4.030638695E0
1.433960690E-1,2.355894566E0,7.536946774E0,3.949235678E0
1.453889860E-1,2.480392933E0,7.393294811E0,3.939658880E0
1.473819020E-1,2.547430515E0,7.383718014E0,3.939658880E0
1.493748190E-1,2.580949545E0,7.316680431E0,3.930082083E0
1.513677360E-1,2.580949545E0,7.235277653E0,3.930082083E0
1.533606520E-1,2.585737944E0,7.187393665E0,3.987542868E0
1.553535690E-1,2.518700123E0,7.129932880E0,3.997119665E0
1.573464860E-1,2.437297344E0,7.067683220E0,4.011485100E0
1.593394020E-1,2.360682964E0,7.062894821E0,4.102464676E0
1.613323190E-1,2.341529369E0,7.004835606E0,4.159925461E0
1.633252360E-1,2.317587137E0,6.928221226E0,4.188655853E0
1.653181520E-1,2.293645144E0,6.961740017E0,4.246116638E0
1.673110690E-1,2.279279947E0,7.019799232E0,4.265270233E0
1.693039860E-1,2.322375536E0,6.966528416E0,4.294000626E0
1.712969020E-1,2.327163935E0,7.009624004E0,4.289212227E0
1.732898190E-1,2.365471363E0,7.014412403E0,4.303577423E0
1.752827360E-1,2.341529369E0,7.048529625E0,4.313154221E0
1.772756520E-1,2.317587137E0,7.029376030E0,4.322731018E0
1.792685690E-1,2.312798738E0,7.000047207E0,4.303577423E0
1.812614860E-1,2.236184359E0,7.043741226E0,4.322731018E0
1.832544020E-1,2.207453966E0,7.038952827E0,4.322731018E0
1.852473190E-1,2.097320795E0,7.024587631E0,4.346673012E0
1.872402360E-1,2.054224968E0,6.985682011E0,4.346673012E0
1.892331520E-1,1.996764183E0,6.947374821E0,4.394556999E0
1.912260690E-1,1.920149803E0,6.899490833E0,4.428076267E0
1.932189860E-1,1.872265697E0,6.865972042E0,4.490325451E0
1.952119020E-1,1.857900500E0,6.798934460E0,4.519055843E0
1.972048190E-1,1.872265697E0,6.774992466E0,4.576516628E0
1.991977360E-1,1.857900500E0,6.774992466E0,4.624400616E0
2.011906520E-1,1.848323703E0,6.760627270E0,4.629189014E0
