relative_time,AccX,AccY,AccZ
7116,-5.403339862823486,8.570082664489746,-0.4450916647911072
7182,-5.043787956237793,8.874855041503906,0.14413093030452728
7249,-5.058938503265381,9.735944747924805,-0.034419044852256775
7314,-4.15341329574585,11.910808563232422,2.6078410148620605
7380,0.9669988751411438,9.858086585998535,-0.8957187533378601
7446,-5.25448751449585,7.871139049530029,-1.061790108680725
7512,-7.082939624786377,7.0335612297058105,-1.8458528518676758
7578,-3.554537057876587,5.8118672370910645,-2.771604537963867
7644,-3.890232801437378,4.760228633880615,-3.6642298698425293
7711,-6.48613166809082,11.830085754394531,-3.1317501068115234
7776,,9.592676162719727,-7.336724758148193
7777,-8.837611198425293,,
7842,1.1455200910568237,7.746133327484131,0.8349059820175171
7908,,,3.0460567474365234
7909,-4.692893981933594,7.815373420715332,
7975,-3.6403167247772217,7.412572860717773,-2.365480899810791
8040,-4.366899490356445,8.047486305236816,0.5213422179222107
8106,-4.705028057098389,8.3526611328125,-0.8475952744483948
8172,,,0.06876147538423538
8173,-5.998758792877197,8.038082122802734,
8238,-5.844552516937256,8.83388614654541,0.8735963106155396
8304,-6.4286041259765625,10.140602111816406,0.7430931329727173
8370,-2.625922203063965,12.773133277893066,1.6194379329681396
8436,0.1721814125776291,10.160024642944336,-0.3721068501472473
8502,-6.978638172149658,8.598611831665039,-2.1816444396972656
8568,-4.84100866317749,5.510561466217041,-1.6993756294250488
8634,-4.329933166503906,5.55230712890625,-3.945692300796509
8700,-5.057032585144043,4.971645832061768,-4.751312732696533
8766,-9.106403350830078,10.917722702026367,-3.155280113220215
8833,-8.263970375061035,14.24893856048584,-3.768531084060669
8898,0.1269214153289795,4.858151435852051,1.0730046033859253
8964,-5.377951622009277,9.879241943359375,3.386780261993408
9030,-3.4570932388305664,7.398810863494873,1.6122745275497437
9097,-4.4527363777160645,8.34567928314209,1.89948308467865
9162,,,0.13432429730892181
9163,-5.892034530639648,7.687197208404541,
9228,-5.140810489654541,7.903585433959961,0.06554366648197174
9294,-6.92855167388916,8.384618759155273,0.42927077412605286
9360,-6.066648483276367,11.978736877441406,1.3528963327407837
9426,-1.6254905462265015,11.24693489074707,2.6854896545410156
9492,,,-1.9459114074707031
9493,-2.1947646141052246,9.726415634155273,
9558,-8.379437446594238,7.754848003387451,-2.5867722034454346
9624,-3.6520578861236572,5.757011413574219,-0.7015202641487122
9690,-5.34916353225708,5.6592607498168945,-3.4720711708068848
9756,-5.121781826019287,3.8337297439575195,-4.259408950805664
9822,-9.68148136138916,12.894960403442383,-3.089477777481079
9888,-8.586880683898926,13.930126190185547,0.9546448588371277
9954,-3.5131940841674805,3.691495180130005,0.042214564979076385
10020,-4.9040913581848145,10.779011726379395,0.7260656356811523
10086,-2.918407440185547,7.204708576202393,0.14433206617832184
10152,-4.395323276519775,8.641345024108887,1.5205861330032349
10218,-5.3643717765808105,7.381257057189941,0.37362954020500183
10284,-6.372665882110596,8.03780460357666,-0.2584875822067261
10350,-5.783653736114502,8.79774284362793,2.054196357727051
10416,,,1.8657630681991577
10417,-7.592013835906982,11.428386688232422,
10482,-1.0480186939239502,10.463427543640137,1.3043993711471558
10548,-3.482433319091797,8.51761245727539,-1.3617165088653564
10614,-9.106805801391602,6.895712852478027,-3.8615505695343018
10680,-5.216036796569824,6.773809432983398,-0.10311347991228104
10746,-4.052761077880859,6.950281143188477,-1.564649224281311
10812,-3.2800371646881104,6.228994846343994,-2.380305767059326
10878,-8.879883766174316,9.377398490905762,-3.061896800994873
10944,-11.485971450805664,13.96634578704834,3.4272520542144775
11010,-1.2137740850448608,3.14493727684021,-0.5823655724525452
11076,-4.498963356018066,9.752971649169922,4.084029197692871
11142,-5.441435813903809,6.497518539428711,0.7357668876647949
11208,-4.639981746673584,7.736968040466309,2.117307424545288
11274,-3.8721232414245605,8.94677734375,-0.4301135540008545
11340,-6.8331475257873535,7.669327259063721,1.2386258840560913
11406,-6.332003116607666,8.60640811920166,2.0244317054748535
11472,-6.404633522033691,10.175232887268066,1.4626177549362183
11538,,,2.082495927810669
11539,-1.8474138975143433,10.817309379577637,
11604,-1.3047058582305908,11.9602632522583,-2.3224141597747803
11670,-6.784803867340088,7.284904956817627,-2.1883673667907715
11736,-5.992552757263184,5.720715522766113,-0.8994154334068298
11802,-2.854980230331421,6.909857273101807,-2.3839447498321533
11868,-4.60261344909668,6.405829906463623,-3.228207588195801
11934,-7.587052822113037,10.204920768737793,-2.2620129585266113
12000,-10.771446228027344,10.016602516174316,-6.372704029083252
12066,3.1779675483703613,8.516836166381836,0.3806684911251068
12132,-4.755890369415283,8.674480438232422,4.645709037780762
12198,-4.978809356689453,7.09053373336792,-0.7890522480010986
12276,-3.9063987731933594,8.573942184448242,2.563471794128418
12342,-6.257504940032959,7.460102558135986,0.10350612550973892
12409,-7.1822123527526855,8.325165748596191,0.5130103826522827
12474,-6.902148246765137,7.886021614074707,0.3232172131538391
12540,-5.81273889541626,11.365706443786621,1.6486281156539917
12606,-0.3108152747154236,10.335864067077637,1.4584040641784668
12673,-6.853804588317871,10.05238151550293,-1.8514553308486938
12738,-7.341216087341309,5.444558143615723,-3.958237886428833
12805,-3.124758720397949,5.711588382720947,-0.7034643292427063
12871,-5.071206569671631,4.855757236480713,-3.975227117538452
12936,-6.630147933959961,7.333315372467041,-4.7137041091918945
13002,,,-4.24738073348999
13003,-7.736987113952637,6.298330783843994,
13069,-6.260368347167969,17.74712562561035,2.0259735584259033
13134,-4.508185863494873,3.5810840129852295,0.5218785405158997
13200,,,-0.4030207395553589
13201,-4.396750450134277,10.93958568572998,
13267,-2.8751490116119385,7.17578649520874,1.4930624961853027
13333,-4.913390159606934,8.502250671386719,0.5604826211929321
13399,-5.85541296005249,7.165644645690918,0.5246174931526184
13465,-6.375366687774658,7.840838432312012,0.39393237233161926
13530,,,1.7999224662780762
13531,-6.2099175453186035,9.250170707702637,
13597,,9.44871711730957,1.4967974424362183
13598,-8.241981506347656,,
13664,-0.23349212110042572,10.52624225616455,0.35000357031822205
13728,,,-0.6211708188056946
13729,-7.084126949310303,9.72810173034668,
13794,,,-2.6603219509124756
13795,-6.832247257232666,4.681995391845703,
13860,,6.838261127471924,0.5479848384857178
13927,-1.005497694015503,7.533690929412842,0.004204218275845051
13993,-4.217884063720703,9.694170951843262,-4.267511367797852
14058,,,-2.319119691848755
14059,-15.229488372802734,2.5217838287353516,
14124,,,2.6352977752685547
14125,-6.416144371032715,21.055078506469727,
14191,1.013388991355896,4.505379676818848,2.554316520690918
14256,,,-4.10963773727417
14257,-4.707144260406494,9.933446884155273,
14323,-4.2300567626953125,7.3056769371032715,1.9416112899780273
14389,-4.871434211730957,9.105781555175781,-0.7956985235214233
14455,-5.507075786590576,7.0962605476379395,0.42641690373420715
14521,-6.42756986618042,9.453103065490723,0.33585861325263977
14586,,,0.5486265420913696
14587,-6.7020792961120605,8.601763725280762,
14653,,,2.651434898376465
14654,-4.1696648597717285,10.212486267089844,
14719,-1.2077311277389526,11.834146499633789,-1.155422568321228
14785,-8.053816795349121,7.550105571746826,-1.9329252243041992
14850,,,-1.4810148477554321
14851,-6.866082191467285,5.130918025970459,
14917,-4.137965679168701,7.515542984008789,-0.8075833916664124
14983,-3.54879093170166,6.078657627105713,-1.8671995401382446
15048,-6.028686046600342,10.17857551574707,-2.3284666538238525
15115,-8.200906753540039,5.54777717590332,-3.3912527561187744
15181,-5.498102188110352,16.386232376098633,0.9598929286003113
15247,-3.563108444213867,4.204859733581543,2.901561737060547
15312,-6.040666580200195,11.048062324523926,-1.4736024141311646
15378,-4.20502233505249,7.524372577667236,0.5752788186073303
15445,-4.1139373779296875,8.465676307678223,2.0275919437408447
15510,,,0.6283630132675171
15511,-5.121810436248779,8.314229965209961,
15577,-7.067587852478027,7.943300247192383,-0.5776346921920776
17811,-1.2971209287643433,11.576635360717773,1.7954405546188354
17877,-3.9790961742401123,10.846968650817871,-1.5567100048065186
17943,-6.050167083740234,5.927545547485352,-2.6171209812164307
18009,-5.144546031951904,4.3763227462768555,-1.170707106590271
18075,-3.775416851043701,5.46947717666626,-3.7821874618530273
18140,,,-3.860363006591797
18141,-7.028447151184082,7.713706016540527,
18207,-7.072136878967285,8.613456726074219,-4.615331649780273
18273,-0.8339196443557739,13.07055950164795,-0.24916936457157135
18339,-4.059435844421387,4.419217109680176,1.0910090208053589
18405,-4.646781921386719,9.749773025512695,-2.1661875247955322
18471,-4.617112636566162,6.897426605224609,0.47640782594680786
18537,-5.3351149559021,7.817892074584961,0.248345747590065
18603,-6.225728988647461,7.306433200836182,0.6344442963600159
18773,-6.64730978012085,10.686327934265137,1.1007198095321655
18839,-3.3871922492980957,11.4661865234375,2.7065205574035645
18904,,,-0.5063449144363403
18905,-1.401450753211975,12.941827774047852,
18971,-6.787303447723389,6.917222023010254,-2.843306064605713
19036,,,-1.0527974367141724
19037,-6.01110315322876,4.945453643798828,
19102,,5.566605091094971,-2.48537278175354
19103,-3.3839359283447266,,
19169,-5.176723480224609,5.399202823638916,-4.188454627990723
19235,-9.14309310913086,11.735745429992676,-2.273399829864502
19301,-8.676376342773438,12.384132385253906,-3.159512996673584
19367,,,1.6712963581085205
19368,-0.329614520072937,6.2439727783203125,
19433,-5.627810478210449,10.045965194702148,1.5510978698730469
19499,-4.306364059448242,7.937784194946289,0.3696264326572418
19565,-4.358548164367676,7.34423303604126,2.1208701133728027
22808,-1.5988192558288574,11.442837715148926,1.8830779790878296
22874,-6.174416542053223,9.208904266357422,-2.3080389499664307
22940,-6.07133150100708,4.974432945251465,-1.8994063138961792
23005,-5.938644886016846,6.663541793823242,0.02976471558213234
23071,-2.8787403106689453,7.42470645904541,-1.0990917682647705
23137,,8.719443321228027,-2.6699275970458984
23138,-4.103470325469971,,
23203,-10.222638130187988,5.065470218658447,-2.533994436264038
23269,,,1.768615961074829
23270,-8.010271072387695,16.986066818237305,
23336,-2.303614854812622,3.877946138381958,2.868866443634033
23401,-4.539253234863281,10.772528648376465,-2.2294230461120605
23467,,,1.1892095804214478
23468,-3.5796093940734863,6.611425399780273,
23533,-4.770523548126221,8.555737495422363,1.122507095336914
23599,-5.009119987487793,8.04798412322998,0.903083324432373
23683,,,0.8137891888618469
23684,-6.592395782470703,8.231054306030273,
23749,-7.476842880249023,9.210790634155273,0.7003040313720703
23815,-3.5468084812164307,10.965299606323242,2.396394729614258
23881,,,-2.03291654586792
23882,-1.8866788148880005,12.223664283752441,
23947,,7.123679161071777,-2.0788278579711914
23948,-7.170049667358398,,
24013,,,-0.744960606098175
24014,-6.825782775878906,5.566949844360352,
24079,-3.798295736312866,6.265578269958496,-1.7576122283935547
24145,,,-2.220689296722412
24146,-4.221312999725342,5.238446235656738,
24211,,,-1.7434959411621094
24212,-7.953739166259766,12.135950088500977,
24277,-9.184033393859863,5.210367202758789,-4.225028991699219
25783,-5.472436428070068,9.37027359008789,0.3086988031864166
25848,,,2.6571903228759766
25849,-4.802596092224121,9.846710205078125,
25915,-1.776497721672058,11.568543434143066,-2.1128158569335938
25981,-6.992218494415283,7.665314674377441,-0.7443764805793762
26047,-6.788193702697754,5.367924690246582,-1.3771830797195435
26113,-3.5820512771606445,7.1628289222717285,-1.0525964498519897
26179,-3.9953577518463135,5.7148637771606445,-1.6370593309402466
26244,-5.4854607582092285,9.917414665222168,-3.270249843597412
26310,,,-5.900864124298096
26311,-11.153014183044434,4.799818992614746,
26377,-0.16073712706565857,14.327832221984863,-1.411017894744873
26443,-3.184192419052124,5.505974769592285,3.8901565074920654
26509,-4.397161960601807,9.58609676361084,-5.112463474273682
26575,-3.8256564140319824,6.818370819091797,1.1076343059539795
26641,-4.794140338897705,9.422323226928711,-0.3718099296092987
26707,-5.648831367492676,7.136895179748535,1.0229849815368652
26772,,,0.6544502377510071
26773,-6.3814377784729,8.244654655456543,
26839,-7.128601551055908,8.518866539001465,0.7839574217796326
26904,,,2.6477572917938232
26905,-4.702949523925781,11.68482494354248,
26971,-1.0290470123291016,11.663363456726074,0.25473350286483765
27036,,,-1.0610240697860718
